Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,16/08/2019,19:30,Bayern Munich,Hertha,2,2,1.33,3.4
D1,17/08/2019,14:30,Dortmund,Augsburg,5,1,1.44,2.75
D1,17/08/2019,14:30,Freiburg,Mainz,3,0,1.9,1.9
D1,17/08/2019,14:30,Leverkusen,Paderborn,3,2,1.36,3.2
D1,17/08/2019,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,1.66,2.2
D1,17/08/2019,14:30,Wolfsburg,FC Koln,2,1,1.66,2.2
D1,17/08/2019,17:30,M'gladbach,Schalke 04,0,0,1.8,2
D1,18/08/2019,14:30,Ein Frankfurt,Hoffenheim,1,0,1.53,2.5
D1,18/08/2019,17:00,Union Berlin,RB Leipzig,0,4,1.72,2.1
D1,23/08/2019,19:30,FC Koln,Dortmund,1,3,1.44,2.75
D1,24/08/2019,14:30,Augsburg,Union Berlin,1,1,1.9,1.9
D1,24/08/2019,14:30,Fortuna Dusseldorf,Leverkusen,1,3,1.44,2.75
D1,24/08/2019,14:30,Hoffenheim,Werder Bremen,3,2,1.5,2.62
D1,24/08/2019,14:30,Mainz,M'gladbach,1,3,1.8,2
D1,24/08/2019,14:30,Paderborn,Freiburg,1,3,1.57,2.37
D1,24/08/2019,17:30,Schalke 04,Bayern Munich,0,3,1.57,2.37
D1,25/08/2019,14:30,RB Leipzig,Ein Frankfurt,2,1,1.5,2.62
D1,25/08/2019,17:00,Hertha,Wolfsburg,0,3,1.72,2.1
D1,30/08/2019,19:30,M'gladbach,RB Leipzig,1,3,1.57,2.37
D1,31/08/2019,14:30,Bayern Munich,Mainz,6,1,1.25,4
D1,31/08/2019,14:30,Freiburg,FC Koln,1,2,1.72,2.1
D1,31/08/2019,14:30,Leverkusen,Hoffenheim,0,0,1.36,3.2
D1,31/08/2019,14:30,Schalke 04,Hertha,3,0,1.9,1.9
D1,31/08/2019,14:30,Wolfsburg,Paderborn,1,1,1.36,3.2
D1,31/08/2019,17:30,Union Berlin,Dortmund,3,1,1.44,2.75
D1,1/09/2019,14:30,Werder Bremen,Augsburg,3,2,1.61,2.3
D1,1/09/2019,17:00,Ein Frankfurt,Fortuna Dusseldorf,2,1,1.57,2.37
D1,13/09/2019,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,1.66,2.2
D1,14/09/2019,14:30,Augsburg,Ein Frankfurt,2,1,1.61,2.3
D1,14/09/2019,14:30,Dortmund,Leverkusen,4,0,1.44,2.75
D1,14/09/2019,14:30,FC Koln,M'gladbach,0,1,1.66,2.2
D1,14/09/2019,14:30,Mainz,Hertha,2,1,1.72,2.1
D1,14/09/2019,14:30,Union Berlin,Werder Bremen,1,2,1.66,2.2
D1,14/09/2019,17:30,RB Leipzig,Bayern Munich,1,1,1.44,2.75
D1,15/09/2019,14:30,Hoffenheim,Freiburg,0,3,1.57,2.37
D1,15/09/2019,17:00,Paderborn,Schalke 04,1,5,1.53,2.5
D1,20/09/2019,19:30,Schalke 04,Mainz,2,1,1.66,2.2
D1,21/09/2019,14:30,Bayern Munich,FC Koln,4,0,1.25,4
D1,21/09/2019,14:30,Freiburg,Augsburg,1,1,1.66,2.2
D1,21/09/2019,14:30,Hertha,Paderborn,2,1,1.44,2.75
D1,21/09/2019,14:30,Leverkusen,Union Berlin,2,0,1.44,2.75
D1,21/09/2019,17:30,Werder Bremen,RB Leipzig,0,3,1.44,2.75
D1,22/09/2019,14:30,M'gladbach,Fortuna Dusseldorf,2,1,1.53,2.5
D1,22/09/2019,17:00,Ein Frankfurt,Dortmund,2,2,1.44,2.75
D1,23/09/2019,19:30,Wolfsburg,Hoffenheim,1,1,1.53,2.5
D1,27/09/2019,19:30,Union Berlin,Ein Frankfurt,1,2,1.57,2.37
D1,28/09/2019,14:30,Augsburg,Leverkusen,0,3,1.4,3
D1,28/09/2019,14:30,Hoffenheim,M'gladbach,0,3,1.57,2.37
D1,28/09/2019,14:30,Mainz,Wolfsburg,0,1,1.72,2.1
D1,28/09/2019,14:30,Paderborn,Bayern Munich,2,3,1.2,4.5
D1,28/09/2019,14:30,RB Leipzig,Schalke 04,1,3,1.53,2.5
D1,28/09/2019,17:30,Dortmund,Werder Bremen,2,2,1.3,3.5
D1,29/09/2019,14:30,Fortuna Dusseldorf,Freiburg,1,2,1.66,2.2
D1,29/09/2019,17:00,FC Koln,Hertha,0,4,1.61,2.3
D1,4/10/2019,19:30,Hertha,Fortuna Dusseldorf,3,1,1.57,2.37
D1,5/10/2019,14:30,Bayern Munich,Hoffenheim,1,2,1.22,4.33
